title,abstract,subjects,publisher,uri,doi,language,search_text
"Lire la ville, éclairer la métropolisation depuis l’Asie du Sud-Est",,,Institut de recherche sur l’Asie du Sud-Est contemporaine,https://directory.doabooks.org/handle/20.500.12854/145025,10.4000/121x7,fre,"Title: Lire la ville, éclairer la métropolisation depuis l’Asie du Sud-Est. Abstract: . Subjects: "
Smoking,"Smoking can lead to a variety of ongoing complications in the body, as well as long-term effects on body systems. While smoking can increase the risk of a variety of problems over several years, some of the bodily effects are immediate. This book provides a comprehensive overview of opinions and research findings on smoking and its harmful effects and serves as a valuable reference for researchers and the general public. The issue of electronic cigarettes is one of the most controversial topics in public health. This book also provides an overview of electronic cigarettes and their efficacy as smoking cessation aids. Because there is intense debate and dividing opinions about their use patterns and health concerns, up-to-date evidence of the health risks and safety of electronic cigarettes are discussed. This book also highlights the policies and regulations on electronic cigarettes that vary across countries. Lastly, readers are also enlightened on the future perspectives of electronic cigarettes and whether they are a threat or an opportunity for public health.",,IntechOpen,https://directory.doabooks.org/handle/20.500.12854/67030,10.5772/intechopen.77769,eng,"Title: Smoking. Abstract: Smoking can lead to a variety of ongoing complications in the body, as well as long-term effects on body systems. While smoking can increase the risk of a variety of problems over several years, some of the bodily effects are immediate. This book provides a comprehensive overview of opinions and research findings on smoking and its harmful effects and serves as a valuable reference for researchers and the general public. The issue of electronic cigarettes is one of the most controversial topics in public health. This book also provides an overview of electronic cigarettes and their efficacy as smoking cessation aids. Because there is intense debate and dividing opinions about their use patterns and health concerns, up-to-date evidence of the health risks and safety of electronic cigarettes are discussed. This book also highlights the policies and regulations on electronic cigarettes that vary across countries. Lastly, readers are also enlightened on the future perspectives of electronic cigarettes and whether they are a threat or an opportunity for public health.. Subjects: "
La part du bronze,,,Vrin,https://directory.doabooks.org/handle/20.500.12854/172415,10.4000/books.vrin.1285,fre,Title: La part du bronze. Abstract: . Subjects: 
Einmal ausgebildet – lebenslang qualifiziert?,"Schulen sind systemrelevant und damit auch die Kompetenzen der Lehrkräfte. Ihre Professionalität entwickelt sich im Beruf. Wie steht es um die organisierte und berufslange Qualifizierung der 800.000 Lehrkräfte in Deutschland? Was macht Qualität in der Lehrkräftefortbildung (LFB) aus, welche Strukturen braucht sie? Wie nützt die LFB der Schulentwicklung, welche Rolle spielen die Schulleitungen? Weitere Themen sind Positionen zum Quer- und Seiteneinstieg ins Lehramt sowie Vorschläge zur Weiterentwicklung der LFB und eine Agenda dazu. Das Besondere an diesem Band: Die Beiträge und Statements stammen aus den Bereichen Wissenschaft, Bildungsverwaltung und Schulpraxis sowie von Lehrerverbänden und Stiftungen – also von den Akteuren, die zum Gelingen notwendig sind.",,Beltz Juventa,https://directory.doabooks.org/handle/20.500.12854/133670,,ger,"Title: Einmal ausgebildet – lebenslang qualifiziert?. Abstract: Schulen sind systemrelevant und damit auch die Kompetenzen der Lehrkräfte. Ihre Professionalität entwickelt sich im Beruf. Wie steht es um die organisierte und berufslange Qualifizierung der 800.000 Lehrkräfte in Deutschland? Was macht Qualität in der Lehrkräftefortbildung (LFB) aus, welche Strukturen braucht sie? Wie nützt die LFB der Schulentwicklung, welche Rolle spielen die Schulleitungen? Weitere Themen sind Positionen zum Quer- und Seiteneinstieg ins Lehramt sowie Vorschläge zur Weiterentwicklung der LFB und eine Agenda dazu. Das Besondere an diesem Band: Die Beiträge und Statements stammen aus den Bereichen Wissenschaft, Bildungsverwaltung und Schulpraxis sowie von Lehrerverbänden und Stiftungen – also von den Akteuren, die zum Gelingen notwendig sind.. Subjects: "
La revolución francesa en México,,,El Colegio de México,https://directory.doabooks.org/handle/20.500.12854/89835,,spa,Title: La revolución francesa en México. Abstract: . Subjects: 
Kingship In Asia and early America,"Congreso de Ciencias Humanas en Asía y África del Norte, celebrado en 1976 en México.",,El Colegio de México,https://directory.doabooks.org/handle/20.500.12854/89531,,eng,"Title: Kingship In Asia and early America. Abstract: Congreso de Ciencias Humanas en Asía y África del Norte, celebrado en 1976 en México.. Subjects: "
Neural Mechanisms Underlying Internet Gaming Disorder,"This eBook is a collection of articles from a Frontiers Research Topic. Frontiers Research Topics are very popular trademarks of the Frontiers Journals Series: they are collections of at least ten articles, all centered on a particular subject. With their unique mix of varied contributions from Original Research to Review Articles, Frontiers Research Topics unify the most influential researchers, the latest key findings and historical advances in a hot research area! Find out more on how to host your own Frontiers Research Topic or contribute to one as an author by contacting the Frontiers Editorial Office: frontiersin.org/about/contact",,Frontiers Media SA,https://directory.doabooks.org/handle/20.500.12854/72873,10.3389/978-2-88945-655-0,eng,"Title: Neural Mechanisms Underlying Internet Gaming Disorder. Abstract: This eBook is a collection of articles from a Frontiers Research Topic. Frontiers Research Topics are very popular trademarks of the Frontiers Journals Series: they are collections of at least ten articles, all centered on a particular subject. With their unique mix of varied contributions from Original Research to Review Articles, Frontiers Research Topics unify the most influential researchers, the latest key findings and historical advances in a hot research area! Find out more on how to host your own Frontiers Research Topic or contribute to one as an author by contacting the Frontiers Editorial Office: frontiersin.org/about/contact. Subjects: "
"Rastro, hesitação e memória : o tempo na poesia de Yves Bonnefoy","Rastro, hesitação e memória pretende investigar as relações entre poesia e tempo. Há nos poemas de Anti-Platon e Du Mouvement et de l’immobilité de Douve, tanto quanto nos ensaios de L’Improbable, a condenação de um inteligível abstrato em virtude do esquecimento do tempo. A poesia repercutiria uma tensão entre interioridade conceitual e exterioridade. As palavras do poema evocariam um apagamento: rastro, presença ausente. A perda se tornaria a origem da linguagem poética.",,SciELO Books - Editora UNESP,https://directory.doabooks.org/handle/20.500.12854/57626,10.7476/9788568334720,por,"Title: Rastro, hesitação e memória : o tempo na poesia de Yves Bonnefoy. Abstract: Rastro, hesitação e memória pretende investigar as relações entre poesia e tempo. Há nos poemas de Anti-Platon e Du Mouvement et de l’immobilité de Douve, tanto quanto nos ensaios de L’Improbable, a condenação de um inteligível abstrato em virtude do esquecimento do tempo. A poesia repercutiria uma tensão entre interioridade conceitual e exterioridade. As palavras do poema evocariam um apagamento: rastro, presença ausente. A perda se tornaria a origem da linguagem poética.. Subjects: "
Zoonotic Diseases and One Health,"Humans are part of an ecosystem, and understanding our relationship with the environment and with other organisms is a prerequisite to living together sustainably. Zoonotic diseases, which are spread between animals and humans, are an important issue as they reflect our relationship with other animals in a common environment. Zoonoses are still presented with high occurrence rates, especially in rural communities, with direct and indirect consequences for people. In several cases, zoonosis could cause severe clinical manifestations and is difficult to control and treat. Moreover, the persistent use of drugs for infection control enhances the potential of drug resistance and impacts on ecosystem balance and food production. This book demonstrates the importance of understanding zoonosis in terms of how it allows ecosystems to transform, adapt, and evolve. Ecohealth/One Health approaches recognize the interconnections among people, other organisms, and their shared developing environment. Moreover, these holistic approaches encourage stakeholders of various disciplines to collaborate in order to solve problems related to zoonosis. The reality of climate change necessitates considering new variables in studying diseases, particularly to predict how these changes in the ecosystems can affect human health and how to recognize the boundaries between medicine, veterinary care, and environmental and social changes towards healthy and sustainable development.",,MDPI - Multidisciplinary Digital Publishing Institute,https://directory.doabooks.org/handle/20.500.12854/62937,10.3390/books978-3-03928-011-7,eng,"Title: Zoonotic Diseases and One Health. Abstract: Humans are part of an ecosystem, and understanding our relationship with the environment and with other organisms is a prerequisite to living together sustainably. Zoonotic diseases, which are spread between animals and humans, are an important issue as they reflect our relationship with other animals in a common environment. Zoonoses are still presented with high occurrence rates, especially in rural communities, with direct and indirect consequences for people. In several cases, zoonosis could cause severe clinical manifestations and is difficult to control and treat. Moreover, the persistent use of drugs for infection control enhances the potential of drug resistance and impacts on ecosystem balance and food production. This book demonstrates the importance of understanding zoonosis in terms of how it allows ecosystems to transform, adapt, and evolve. Ecohealth/One Health approaches recognize the interconnections among people, other organisms, and their shared developing environment. Moreover, these holistic approaches encourage stakeholders of various disciplines to collaborate in order to solve problems related to zoonosis. The reality of climate change necessitates considering new variables in studying diseases, particularly to predict how these changes in the ecosystems can affect human health and how to recognize the boundaries between medicine, veterinary care, and environmental and social changes towards healthy and sustainable development.. Subjects: "
Land-Use Management,"In Land-Use Management - Recent Advances, New Perspectives, and Applications acclaimed experts from diverse fields converge to present a comprehensive exploration of the latest developments in land-use practices. This groundbreaking book delves into the dynamic interplay between human activities and the environment, offering a nuanced understanding of how land-use decisions shape our world. From cutting-edge technologies to innovative policy frameworks, this book showcases the forefront of land-use management. Readers will gain insights into sustainable urban planning, agricultural practices, conservation strategies, and the integration of smart technologies. Each chapter is a testament to the multidisciplinary nature of effective land-use management, emphasizing the need for collaborative approaches in tackling the challenges of our rapidly changing global landscape. Land-Use Management - Recent Advances, New Perspectives, and Applications is an indispensable resource for scholars, policymakers, and practitioners seeking to navigate the complexities of contemporary land-use challenges. Whether you are involved in urban planning, environmental science, or policy formulation, this book offers a comprehensive guide to understanding, managing, and optimizing land use for a sustainable and resilient future.",,IntechOpen,https://directory.doabooks.org/handle/20.500.12854/140373,10.5772/intechopen.111321,eng,"Title: Land-Use Management. Abstract: In Land-Use Management - Recent Advances, New Perspectives, and Applications acclaimed experts from diverse fields converge to present a comprehensive exploration of the latest developments in land-use practices. This groundbreaking book delves into the dynamic interplay between human activities and the environment, offering a nuanced understanding of how land-use decisions shape our world. From cutting-edge technologies to innovative policy frameworks, this book showcases the forefront of land-use management. Readers will gain insights into sustainable urban planning, agricultural practices, conservation strategies, and the integration of smart technologies. Each chapter is a testament to the multidisciplinary nature of effective land-use management, emphasizing the need for collaborative approaches in tackling the challenges of our rapidly changing global landscape. Land-Use Management - Recent Advances, New Perspectives, and Applications is an indispensable resource for scholars, policymakers, and practitioners seeking to navigate the complexities of contemporary land-use challenges. Whether you are involved in urban planning, environmental science, or policy formulation, this book offers a comprehensive guide to understanding, managing, and optimizing land use for a sustainable and resilient future.. Subjects: "
